id,grade,part,tts_script,question_text,option_1,option_2,option_3,option_4,correct_option_index,explanation
4001,4,2,"Girl: What time is the soccer game?\nBoy: It starts at three o'clock.\nGirl: OK. Let's meet at two thirty.\nBoy: Good idea.\n\nQuestion: What time will they meet?","What time will they meet?","At 2:00","At 2:30","At 3:00","At 3:30",2,"男の子が「3時開始」と言い、女の子が「2時半(two thirty)に会おう」と提案し、合意しています。"
4002,4,2,"Man: You weren't at school yesterday, Emily.\nGirl: I went to the dentist, Mister Smith.\nMan: Are you okay now?\nGirl: Yes, I'm fine.\n\nQuestion: Where did Emily go yesterday?","Where did Emily go yesterday?","To school","To the library","To the park","To the dentist",4,"「昨日学校にいなかったね」という問いに対し、女の子は「歯医者(dentist)に行った」と答えています。"
4003,4,2,"Woman: Excuse me. How much is this red bag?\nMan: It's twenty dollars.\nWoman: How about the blue one?\nMan: It's fifteen dollars.\n\nQuestion: How much is the blue bag?","How much is the blue bag?","15 dollars","20 dollars","50 dollars","100 dollars",1,"赤いバッグは20ドルですが、質問されている青いバッグは「15ドル(fifteen dollars)」です。"
4004,4,2,"Boy: Mom, I'm hungry. Can we have pizza for lunch?\nWoman: We had pizza yesterday. Let's have sandwiches.\nBoy: Okay.\n\nQuestion: What will they have for lunch?","What will they have for lunch?","Pizza","Curry","Sandwiches","Sushi",3,"男の子はピザを提案しましたが、お母さんが「昨夜食べたからサンドイッチにしよう」と言い、男の子も了承しました。"
4005,4,2,"Girl: Look at the rain. We can't play tennis.\nBoy: That's too bad. Let's play video games inside.\nGirl: OK. Let's do that.\n\nQuestion: What will they do?","What will they do?","Play tennis","Go swimming","Play video games","Study math",3,"雨でテニスができないため、中でテレビゲーム(video games)をすることに決めました。"
4006,4,2,"Man: Where is Tom?\nWoman: He is in his room. He is studying for the math test.\nMan: I see. Dinner is ready, so please call him.\n\nQuestion: What is Tom doing now?","What is Tom doing now?","Eating dinner","Studying","Playing soccer","Sleeping",2,"トムは部屋で数学のテスト勉強(studying)をしています。"
4007,4,2,"Boy: I like your new shoes.\nGirl: Thank you. My father bought them for me.\nBoy: They are very cute.\n\nQuestion: Who bought the shoes?","Who bought the shoes?","The girl","The boy","The girl's father","The girl's mother",3,"女の子が「父が買ってくれた(My father bought them)」と言っています。"
4008,4,2,"Woman: When will you go to Hokkaido?\nMan: Next month. I will go with my family.\nWoman: That sounds fun. Is it for a trip?\nMan: No, for my brother's wedding.\n\nQuestion: Why will the man go to Hokkaido?","Why will the man go to Hokkaido?","For a trip","For work","For a wedding","For skiing",3,"旅行(trip)かと聞かれ、Noと否定し、兄の結婚式(wedding)のためだと答えています。"
4009,4,2,"Girl: Which subject do you like the best?\nBoy: I like science. It's interesting.\nGirl: I like music the best. I play the piano.\n\nQuestion: What subject does the boy like?","What subject does the boy like?","Science","Math","Music","English",1,"男の子は理科(science)が好きだと答えています。女の子は音楽が好きです。"
4010,4,2,"Man: Hello. This is Green Library.\nWoman: Hello. Is the library open today?\nMan: Yes. We are open until six o'clock.\n\nQuestion: What time does the library close?","What time does the library close?","At 3:00","At 5:00","At 6:00","At 7:00",3,"図書館は6時(six o'clock)まで開いている＝6時に閉まる、ということです。"